what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686607093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686607464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686607806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686608325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686608769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686609169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686609529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686609889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686610291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686610567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548686610947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686621282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686622023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686622369
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686624083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686625033
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548686625036
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548686625927
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686628004
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548686662436
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1548686676719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686676742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686677021
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686678701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686679089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686679552
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548686679554
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548686680488
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686682437
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548686789177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686792267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686792549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686793397
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686794127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686794964
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548686794966
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548686795905
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686797864
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548686819833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686822097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686822464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686822847
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686824124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686825008
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548686825010
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548686825957
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686827870
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548686863537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686881850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686882142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686882893
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686883690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686884526
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548686884528
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548686885462
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686887453
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548686906014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686928711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686928974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686930116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686931705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1548686940257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1548686942197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686953057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686954449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686955643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686956742
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1548686962765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686962785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686963164
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686965105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686965259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686965914
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548686965916
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548686966844
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548686968841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686989663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548686991503
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548687040896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687074770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687075936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687077317
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548687077493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687078351
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548687078353
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548687079289
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548687081290
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548687098171
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1548687107134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687107154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687107423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687108162
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548687109023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548687109916
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548687109918
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548687110820
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548687112731
