what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548680945931
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548680949075
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548680949950
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548680950871
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548680952826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548680964244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681060814
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548681060832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681063554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681215256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681215859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681223827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1548681231702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1548681236268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681238966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681239497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681240957
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681241224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681242129
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548681242132
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548681243068
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681245011
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548681299977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548681308364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548681308608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1548681308824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681318317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681318674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681319100
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681320373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681321210
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548681321212
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548681322147
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681324016
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548681337999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681370776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681456670
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1548681456680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681459206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681503401
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548681504794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681513199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681514057
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681516303
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548681517212
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548681518149
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681520051
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548681531175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681536251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681537517
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681539105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681539572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548681539992
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548681539994
error,log,,,"Failed Executing: [nios2-download, '--cable=', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1548681540864
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548681542768
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548681553111
